"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2772,215,"LKA","Sri Lanka",1,"Ampara","","Amparai","Distrikkaya","District"
2773,215,"LKA","Sri Lanka",2,"Anuradhapura","","","Distrikkaya","District"
2774,215,"LKA","Sri Lanka",3,"Badulla","","","Distrikkaya","District"
2775,215,"LKA","Sri Lanka",4,"Batticaloa","","","Distrikkaya","District"
2776,215,"LKA","Sri Lanka",5,"Colombo","","","Distrikkaya","District"
2777,215,"LKA","Sri Lanka",6,"Galle","","","Distrikkaya","District"
2778,215,"LKA","Sri Lanka",7,"Gampaha","","","Distrikkaya","District"
2779,215,"LKA","Sri Lanka",8,"Hambantota","","","Distrikkaya","District"
2780,215,"LKA","Sri Lanka",9,"Jaffna","","","Distrikkaya","District"
2781,215,"LKA","Sri Lanka",10,"Kalutara","","","Distrikkaya","District"
2782,215,"LKA","Sri Lanka",11,"Kandy","","Maha Nuwara","Distrikkaya","District"
2783,215,"LKA","Sri Lanka",12,"Kegalle","","Kegalla","Distrikkaya","District"
2784,215,"LKA","Sri Lanka",13,"Kilinochchi","","","Distrikkaya","District"
2785,215,"LKA","Sri Lanka",14,"Kurunegala","","","Distrikkaya","District"
2786,215,"LKA","Sri Lanka",15,"Mannar","","","Distrikkaya","District"
2787,215,"LKA","Sri Lanka",16,"Matale","","","Distrikkaya","District"
2788,215,"LKA","Sri Lanka",17,"Matara","","","Distrikkaya","District"
2789,215,"LKA","Sri Lanka",18,"Moneragala","","Monaragala","Distrikkaya","District"
2790,215,"LKA","Sri Lanka",19,"Mullaitivu","","Mulativu","Distrikkaya","District"
2791,215,"LKA","Sri Lanka",20,"Nuwara Eliya","","Nuvara Eliya","Distrikkaya","District"
2792,215,"LKA","Sri Lanka",21,"Polonnaruwa","","","Distrikkaya","District"
2793,215,"LKA","Sri Lanka",22,"Puttalam","","","Distrikkaya","District"
2794,215,"LKA","Sri Lanka",23,"Ratnapura","","","Distrikkaya","District"
2795,215,"LKA","Sri Lanka",24,"Trincomalee","","","Distrikkaya","District"
2796,215,"LKA","Sri Lanka",25,"Vavuniya","","","Distrikkaya","District"
